店舗名称,エリア,券種,place_name,formatted_address,lat,lng,category
あさひ補聴器,宮町,digital,あさひ補聴器飯塚店,〒820-0069 福岡県飯塚市宮町１４−６,33.6429428,130.6848808,健康・医療
ジャンボパンチ希林,秋松,digital,ジャンボパンチ希林,〒820-0083 福岡県飯塚市秋松９４７,33.6222222,130.6722222,その他
茶楽館この葉,潤野,digital,㈱内藤園 茶楽館 この葉,〒820-0021 福岡県飯塚市潤野８８５−６８,33.6346897,130.6651114,カフェ
セブンイレブン飯塚柏の森店,柏の森,digital,セブン-イレブン 飯塚柏の森店,〒820-0011 福岡県飯塚市柏の森５３１−１,33.641351,130.6984932,コンビニ
アエナゆめタウン飯塚店,菰田西,digital,ゆめタウン飯塚,〒820-0017 福岡県飯塚市菰田西３丁目６−１,33.6320873,130.6850743,shopping_mall
ジンギスバル滝川本店,新飯塚,digital,ジンギスバル 滝川本店 黒千代香,〒820-0005 福岡県飯塚市新飯塚１４−６,33.6438486,130.6915073,飲食店
うりゅう鍼灸院,鯰田,digital,うりゅう鍼灸院,〒820-0001 福岡県飯塚市鯰田５６４−６,33.6681807,130.7061103,健康・医療
朝倉屋酒店,宮町,digital,朝倉屋酒店,〒820-0069 福岡県飯塚市宮町１−３,33.6406108,130.6847592,店舗
ハローデイ穂波店,秋松,digital,ハローデイ 穂波店,〒820-0083 福岡県飯塚市秋松９１９ ハローデイ穂波店,33.6204709,130.6712654,飲食店
食事処 桜道場,潤野,digital,食事処 桜道場,〒820-0021 福岡県飯塚市潤野８−７５,33.6337926,130.6672893,飲食店
居酒屋専科大樹,柏の森,digital,居酒屋専科大樹,〒820-0011 福岡県飯塚市柏の森５３９−２,33.6416632,130.6976078,飲食店
靴の赤靴堂,菰田西,digital,赤靴堂,〒820-0017 福岡県飯塚市菰田西１丁目９−２１,33.628384,130.688262,靴店
DartsBar333,新飯塚,digital,Darts Bar 333,〒820-0005 福岡県飯塚市新飯塚１３−２,33.6448251,130.6919031,バー
大庭電器,鯰田,digital,Panasonic shop 大庭電器,〒820-0001 福岡県飯塚市鯰田２３１６−１０,33.6616586,130.6982859,生活雑貨
ジュエリーシモカワ,宮町,digital,ジュエリー・シモカワ,〒820-0069 福岡県飯塚市宮町２−１３,33.6403775,130.6832621,宝飾店
ビップエコー飯塚店,秋松,digital,ビップエコー 飯塚店,〒820-0083 福岡県飯塚市秋松９６２−３,33.6236499,130.6716989,その他
ブランジェリーシュシュ,潤野,digital,シュシュ,〒820-0021 福岡県飯塚市潤野９９４−３,33.6331258,130.6617012,ベーカリー
小さなゆめ,柏の森,digital,小さなゆめ,〒820-0011 福岡県飯塚市柏の森９５３−２,33.6417044,130.6966588,衣料品店
スーパーＡＳＯ昭和通店,菰田西,digital,スーパー麻生 昭和通店,〒820-0017 福岡県飯塚市菰田西２丁目３−３−３４,33.6297403,130.68691,飲食店
ＴＥＴＥ,新飯塚,digital,石窯Grill&Wine Dining TETE（てて）,〒820-0005 福岡県飯塚市新飯塚１５−１０,33.6432729,130.6920591,飲食店
スーパー川食鯰田店,鯰田,digital,スーパー川食 食彩館 鯰田店,〒820-0001 福岡県飯塚市鯰田１９５９,33.666816,130.7014871,飲食店
旬彩ダイニング 樹限無,宮町,digital,旬彩ダイニングじゅげむ,〒820-0069 福岡県飯塚市宮町１３−３０,33.6427324,130.6846646,飲食店
tete秋松店,秋松,digital,石窯Grill&Wine Dining TETE（てて）,〒820-0005 福岡県飯塚市新飯塚１５−１０,33.6432729,130.6920591,飲食店
めし屋ーHAKUー,潤野,digital,めし屋 ~HAKU~,〒820-0021 福岡県飯塚市潤野９９６,33.6335962,130.661605,飲食店
鉄板焼 梛座,柏の森,digital,鉄板焼 梛座 ーnagizaー,〒820-0011 福岡県飯塚市柏の森９２−３２,33.64335380000001,130.7085129,飲食店
いいづかもけい,菰田西,digital,いいづかもけい,〒820-0017 福岡県飯塚市菰田西３丁目１８−１３,33.6368058,130.6899294,店舗
東洋ドライ 新飯塚店,新飯塚,digital,（株）東洋ドライ（クリーニング）新飯塚店,〒820-0005 福岡県飯塚市新飯塚１０−５,33.6434059,130.6926206,クリーニング
くまがい釣具,鯰田,digital,くまがい釣具,〒820-0001 福岡県飯塚市鯰田４６１−９,33.6637714,130.7075826,店舗
きものたかた,宮町,digital,たかた呉服店,〒820-0069 福岡県飯塚市宮町２−７,33.6405,130.683809,衣料品店
セゾンドぶらんこ,秋松,digital,ぶらんこ,〒820-0083 福岡県飯塚市秋松７４８−１,33.6203917,130.6734422,衣料品店
本場インド料理ルパ穂波店,秋松,digital,本場インド料理 ルパ 穂波店,〒820-0083 福岡県飯塚市秋松９１９ ハローデイ穂波店店内,33.6202636,130.6709745,飲食店
宝靖自動車,椿,digital,（有）宝靖自動車,〒820-0084 福岡県飯塚市椿１４５−８,33.6163533,130.6661565,店舗
太田自動車鈑金㈱,阿恵,digital,太田自動車鈑金㈱,〒820-0704 福岡県飯塚市阿恵１２４−３,33.565553,130.6493118,自動車修理
プロショップマナベ飯塚店,秋松,digital,（株）マナベ 飯塚店,〒820-0083 福岡県飯塚市秋松９０９,33.6197919,130.6698118,店舗
ＭＥＧＡドン・キホーテ飯塚店,椿,digital,MEGAドン・キホーテ 飯塚店,〒820-0084 福岡県飯塚市椿１１０−１,33.6199187,130.6679101,飲食店
なか六新鮮屋,阿恵,digital,なか六新鮮屋,〒820-0704 福岡県飯塚市阿恵３６０,33.5672949,130.6460898,飲食店
ドラッグストアモリ飯塚秋松店,秋松,digital,ドラッグストアモリ飯塚秋松店,〒820-0083 福岡県飯塚市秋松１５−５,33.6189077,130.6802125,ドラッグストア
モスバーガー福岡穂波店,椿,digital,モスバーガー福岡穂波店,〒820-0084 福岡県飯塚市椿１９２−１,33.618823,130.663428,カフェ
よしの米穀合同会社,北古賀,digital,よしの米穀,〒820-0703 福岡県飯塚市北古賀224‐1,33.5829835,130.6563556,飲食店
ヤマダデンキ テックランド飯塚店,秋松,digital,ヤマダデンキ テックランド飯塚店,〒820-0083 福岡県飯塚市秋松８３７,33.617406,130.671574,電器店
安部写真館,天道,digital,安部写真館,〒820-0075 福岡県飯塚市天道３８,33.606586,130.677384,電器店
アイアイだいぶ,大分,digital,アイアイだいぶ,〒820-0712 福岡県飯塚市大分１５１０−２０,33.589817,130.6289019,飲食店
ユニクロ飯塚店,秋松,digital,ユニクロ 飯塚店,〒820-0083 福岡県飯塚市秋松８６６−１,33.6181075,130.6719155,衣料品店
久保勝治商店,天道,digital,,,,,その他
うぐいす台電器,大分,digital,うぐいす台電器,〒820-0712 福岡県飯塚市大分１３２４−１２,33.5876623,130.6298358,生活雑貨
ガスのアイプロ,枝国,digital,（株）アイプロ 本社,〒820-0081 福岡県飯塚市枝国５０７,33.6346155,130.672856,その他
篠崎商会,天道,digital,篠崎商会,〒820-0075 福岡県飯塚市天道３６３,33.60322,130.676092,生活雑貨
日本習字筑穂教室,筑穂元吉,digital,明円寺習字教室,〒820-0712 福岡県飯塚市大分１２３６,33.5825216,130.6294891,その他
イオン穂波ショッピングセンター,枝国,digital,イオン穂波ショッピングセンター,〒820-0081 福岡県飯塚市枝国長浦６６６−４８,33.6370555,130.6737438,shopping_mall
天道ホルモン,天道,digital,天道ホルモン,〒820-0075 福岡県飯塚市天道42−１,33.6069398,130.6777881,飲食店
セブンイレブン筑穂中学校前店,長尾,digital,セブン-イレブン 筑穂中学校前店,〒820-0701 福岡県飯塚市長尾８９９−１,33.5743471,130.6437565,コンビニ
ウエスト飯塚店うどんコーナー,枝国,digital,うどんウエスト 飯塚店,〒820-0081 福岡県飯塚市枝国２１６−４,33.6304684,130.674025,飲食店
Ａゴルフセンター,平恒,digital,Ａゴルフセンター,〒820-0073 福岡県飯塚市平恒１−１３,33.610827,130.6994093,その他
スーパー川食筑穂店,平塚,digital,スーパー川食 食彩館 筑穂店,〒820-0702 福岡県飯塚市平塚２９５−２,33.5768286,130.6610547,飲食店
ウエスト飯塚店焼肉コーナー,枝国,digital,焼肉ウエスト 飯塚店,〒820-0081 福岡県飯塚市枝国２１６−５,33.6307542,130.67438,飲食店
洋服の青山飯塚穂波店,弁分,digital,洋服の青山 飯塚穂波店,〒820-0088 福岡県飯塚市弁分15番地52,33.6216439,130.6696069,衣料品店
ドラッグストアコスモス筑穂店,平塚,digital,ドラッグストアコスモス 筑穂店,〒820-0702 福岡県飯塚市平塚２９４−１,33.5765057,130.6609948,ドラッグストア
鮨 魚鮮,枝国,digital,鮨 魚鮮,〒820-0081 福岡県飯塚市枝国５２６,33.63468,130.6697981,飲食店
エディオン飯塚店,弁分,digital,エディオン 飯塚店,〒820-0088 福岡県飯塚市弁分１６−１,33.6231474,130.6690108,生活雑貨
ヘアーサロン モロオカ,平塚,digital,ヘアーサロンモロオカ,〒820-0702 福岡県飯塚市平塚２５８−７,33.57672160000001,130.6623409,美容室
オンデーズ イオン穂波店,枝国,digital,OWNDAYS イオン穂波店,〒820-0081 福岡県飯塚市枝国 長浦 666 ４８ イオン穂波ショッピングセンター 2F,33.6372266,130.67353,健康・医療
シュープラザ飯塚店,弁分,digital,シュープラザ 飯塚店,〒820-0088 福岡県飯塚市弁分 門ノ町15-7,33.6222929,130.6695771,靴店
Ｙｕｍｍｙ Ｃａｋｅｓ,平塚,digital,ヤミィケーキ,〒820-0702 福岡県飯塚市平塚３９６−１,33.5745353,130.6587857,ベーカリー
温野菜 飯塚店,枝国,digital,しゃぶしゃぶ温野菜 飯塚店,〒820-0081 福岡県飯塚市枝国６８０−２,33.6358679,130.6760385,飲食店
フラワーショップはなびより,弁分,digital,はなびより,〒820-0088 福岡県飯塚市弁分４０５−４,33.6202715,130.6601706,花屋
あかね荘,山口,digital,あかね荘,〒820-0711 福岡県飯塚市山口６１１−２,33.557662,130.620462,飲食店
キャスティング飯塚店,枝国,digital,釣具のキャスティング 飯塚店,〒820-0081 福岡県飯塚市枝国２１６−４,33.6304008,130.6744535,衣料品店
ヒマラヤ飯塚店,弁分,digital,ヒマラヤスポーツ&ゴルフ 飯塚店,〒820-0088 福岡県飯塚市弁分２−１,33.6210649,130.6694978,衣料品店
庄内地区,,digital,庄内川,福岡県 庄内川,33.6463416,130.7255152,自然
美・サロン きはら,枝国,digital,美サロンきはら,〒820-0081 福岡県飯塚市枝国５０１−１０,33.6347361,130.6735404,店舗
ピッツァリト,弁分,digital,ピッツァリト,〒820-0088 福岡県飯塚市弁分１２８−５,33.6211707,130.6637036,飲食店
Modernist Cuisine Restaurant Hidaka,赤坂,digital,Modernist Cuisine Restaurant Hidaka (フレンチ&イタリアン レストランヒダカ),〒820-0106 福岡県飯塚市赤坂７３６−１０,33.61534510000001,130.7400679,飲食店
レンタルフォトスタジオグレープ,枝国,digital,着物レンタル写真館·グレープ,〒820-0081 福岡県飯塚市枝国５１３−９,33.6343889,130.6712876,衣料品店
みんなでごはん 穂のさろん,弁分,digital,takeout only（定食屋さんはやめました今はお惣菜屋さんです）みんなでごはん 穂のさろん,〒820-0088 福岡県飯塚市弁分３４０−１,33.6214295,130.6630567,飲食店
エースタクシー,有井,digital,エースタクシー,〒820-0112 福岡県飯塚市有井２１２−１,33.6525802,130.7234049,その他
サーティワンアイスクリームイオン穂波店,枝国,digital,サーティワンアイスクリーム イオン穂波店,〒820-0081 福岡県飯塚市枝国長浦666ｰ48,33.637324,130.673429,ベーカリー
ラバース,弁分,digital,ラ・バース,〒820-0088 福岡県飯塚市弁分１９４,33.6235714,130.666449,衣料品店
三晶自動車,有井,digital,（有）三晶自動車,〒820-0112 福岡県飯塚市有井２７５−１,33.647699,130.722137,自動車修理
佐藤眼鏡店(メガネのサトー),枝国,digital,佐藤眼鏡店 イオン穂波店,〒820-0081 福岡県飯塚市枝国長浦666番４８ イオン穂波ショッピングセンタ 1F,33.6370709,130.6738584,健康・医療
(有)エッカ,堀池,digital,有限会社エッカ,〒820-0070 福岡県飯塚市堀池１５４−９,33.6291371,130.6823201,建設・工事
フェイシャルサロン Sakura,有井,digital,Ｓａｋｕｒａ,〒820-0112 福岡県飯塚市有井３３４−２１,33.646991,130.7213249,その他
セブンイレブン飯塚枝国店,枝国,digital,セブン-イレブン 飯塚枝国店,〒820-0081 福岡県飯塚市枝国５００−４,33.6345751,130.6735293,コンビニ
Ａープライス飯塚店,堀池,digital,A-プライス 飯塚店,〒820-0070 福岡県飯塚市堀池２４３−１,33.6255422,130.6826226,飲食店
大豆の花,有井,digital,大豆の花,〒820-0112 福岡県飯塚市有井３２０−１９,33.646369,130.722464,飲食店
焼鳥千成,枝国,digital,焼鳥千成,〒820-0081 福岡県飯塚市枝国４２９,33.6331197,130.6701524,飲食店
パッケージプラザエジマヤ,堀池,digital,パッケージプラザ エジマヤ,〒820-0070 福岡県飯塚市堀池１３４−６,33.62839,130.682821,飲食店
ピザハット飯塚近大前店,有井,digital,ピザハット 飯塚近大前店,〒820-0112 福岡県飯塚市有井３５４−２９,33.6458004,130.7167481,飲食店
tantan イオン穂波店,枝国,digital,tan tan イオン穂波SC店,〒820-0081 福岡県飯塚市枝国６６６−４８,33.6370709,130.6738584,衣料品店
オアシス珈琲,堀池,digital,オアシス珈琲 本店,〒820-0070 福岡県飯塚市堀池１３３−９,33.6279847,130.6842278,カフェ
BLACK STEELO,有井,digital,ブラックスティーロ,〒820-0112 福岡県飯塚市有井３５４−２１,33.6457722,130.7174435,衣料品店
charmmie,枝国,digital,チャーミー（ｃｈａｒｍｍｉｅ）,〒820-0081 福岡県飯塚市枝国５１８−１,33.6343453,130.6708849,ペット
オートバックス飯塚,堀池,digital,オートバックス 飯塚,〒820-0070 福岡県飯塚市堀池２４９−１,33.6248371,130.6824834,自動車修理
タイ式マッサージむう庵,有井,digital,タイ式マッサージむう庵,〒820-0112 福岡県飯塚市有井３３４−２１,33.6465785,130.7212476,ジム
内藤園イオン穂波店,枝国,digital,内藤園 イオン穂波店,〒820-0081 福岡県飯塚市枝国６６６−４８,33.637319,130.673421,飲食店
Cafe CuLuRe(カフェ クルール),堀池,digital,カフェ クルール,〒820-0070 福岡県飯塚市堀池１７９−２,33.6298871,130.6816399,カフェ
スーパー川食庄内店,有安,digital,スーパー川食 食彩館 庄内店,〒820-0111 福岡県飯塚市有安４２９−１−４２９−１,33.6441925,130.7271961,飲食店
ひよ子本舗吉野堂 イオン穂波店,枝国,digital,ひよ子本舗吉野堂 イオン穂波店,〒820-0081 福岡県飯塚市枝国６６６−４８,33.6370291,130.6731681,飲食店
CuLuRe(クルール),堀池,digital,クルール,〒820-0070 福岡県飯塚市堀池１７４−４,33.6298793,130.6816461,飲食店
金沢石油(株) セルフ飯塚東店,有安,digital,apollostation セルフ飯塚東SS（金沢石油）,〒820-0111 福岡県飯塚市有安６４６,33.6485926,130.7292262,自動車修理
エトウ時計店 イオン穂波店,枝国,digital,ビジュ エトウ イオン穂波店,〒820-0081 福岡県飯塚市枝国６６６−４８ １F イオン穂波ショッピングセンター,33.637319,130.673421,宝飾店
ケイターズ（AUTO GARAGE KEITA'S）,堀池,digital,株式会社ケイターズ,〒820-0070 福岡県飯塚市堀池１８６−５,33.6291371,130.6817229,その他
グッデイ庄内店,有安,digital,ホームセンターグッデイ 庄内店,〒820-0111 福岡県飯塚市有安４４０−１,33.6445157,130.7281236,衣料品店
Flower&Green POPLAR,枝国,digital,flower&green POPLAR / ポプラ,〒820-0081 福岡県飯塚市枝国４６４−３１,33.6369165,130.6728344,花屋
なんばん往来本店,堀池,digital,なんばん往来 Sweets-Bistro,〒820-0070 福岡県飯塚市堀池１２８−１,33.6273044,130.6836876,ベーカリー
Ｓｗｅｅｔ’ｓ ｏｆ ｈａｉｒ,有安,digital,Sweet's of hair,〒820-0111 福岡県飯塚市有安１０３９−１,33.64601870000001,130.7241118,美容室
マリリン イオン穂波店,枝国,digital,マリリン,日本、〒820-0081 福岡県飯塚市枝国,33.6370709,130.6738584,衣料品店
文具のたまおき本店,堀池,digital,文具のたまおき 本店,〒820-0070 福岡県飯塚市堀池１７９−２,33.6298522,130.681777,店舗
スーパーセンタートライアル飯塚庄内店,有安,digital,スーパーセンタートライアル飯塚庄内店,〒820-0111 福岡県飯塚市有安719番地2,33.6500591,130.7255561,店舗
モリタゴルフ桜ヶ丘店,枝国,digital,モリタゴルフ桜ヶ丘店,〒820-0081 福岡県飯塚市枝国６６６,33.6390658,130.6739745,店舗
ダイレックス飯塚店,堀池,digital,ダイレックス 飯塚店,〒820-0070 福岡県飯塚市堀池８７−１,33.623896,130.683568,飲食店
くすりのハッピー庄内店,有安,digital,くすりのハッピー 庄内店,〒820-0111 福岡県飯塚市有安６９１,33.64824979999999,130.7274427,ドラッグストア
くすりのヤスタケ穂波店,枝国,digital,イオン穂波店１Ｆくすりのヤスタケ,〒820-0081 福岡県飯塚市枝国６６６−４８,33.6370709,130.6738584,ドラッグストア
清水理容室 チャボ,堀池,digital,清水理容室 チャボ,〒820-0070 福岡県飯塚市堀池５７−５,33.6278076,130.68567,美容室
ハッピー薬局庄内店,有安,digital,ハッピー薬局 庄内店,〒820-0111 福岡県飯塚市有安６９１,33.6482551,130.727493,ドラッグストア
ゼッテリアイオン穂波店,枝国,digital,ゼッテリア イオン穂波FS店,〒820-0081 福岡県飯塚市枝国長浦６６６−４８,33.637167,130.6736461,飲食店
めがねのツカハラ,堀池,digital,（有）めがねのツカハラ,〒820-0070 福岡県飯塚市堀池１５５−３ 中村ビル,33.629279,130.6831294,健康・医療
アラミアルーアン,綱分,digital,Aramiah Ruang,〒820-0101 福岡県飯塚市綱分１３７８−１８,33.6282715,130.7255043,美容室
寿し徳,小正,digital,寿し徳,〒820-0089 福岡県飯塚市小正８−１,33.6255772,130.6691038,飲食店
デラシネ(deracine),堀池,digital,デラシネ（ｄｅｒａｃｉｎｅ）,〒820-0070 福岡県飯塚市堀池１７０−１ メイゾンイサヤマ 103,33.6298225,130.683004,衣料品店
庄四季物,綱分,digital,庄四季物,〒820-0101 福岡県飯塚市綱分７７０−１,33.638301,130.7286724,その他
お好み焼きむらた,小正,digital,お好み焼 むらた,〒820-0089 福岡県飯塚市小正１,33.6294977,130.6613237,飲食店
ドラッグストアコスモス堀池店,堀池,digital,ドラッグストアコスモス 堀池店,〒820-0070 福岡県飯塚市堀池１０５−１,33.6263841,130.6837344,ドラッグストア
セブンイレブン飯塚庄内店,綱分,digital,セブン-イレブン 飯塚庄内店,〒820-0101 福岡県飯塚市綱分１５６６−３,33.6314542,130.7262104,コンビニ
とり久,小正,digital,仕出しとり久,〒820-0089 福岡県飯塚市小正５５４−１,33.6261073,130.657342,飲食店
はないちもんめ,堀池,digital,はないちもんめ,〒820-0070 福岡県飯塚市堀池１５５−８,33.629234,130.682682,飲食店
お茶とお食事処森山,綱分,digital,お茶とお食事処 森山,〒820-0101 福岡県飯塚市綱分１８０６−２,33.6343016,130.7260427,飲食店
ふくおか安心安全ショップ,小正,digital,ふくおか安心安全ショップ,〒820-0089 福岡県飯塚市小正６０−１,33.6243158,130.6595305,店舗
食房KOSAI,南尾,digital,食房 KOSAI,〒820-0072 福岡県飯塚市南尾２８７,33.616126,130.6844313,飲食店
いいづかスポーツ・リゾート ザ・リトリート,仁保,digital,いいづかスポーツ・リゾート ザ・リトリート,"8-37 Niho, 仁保 Iizuka, Fukuoka 820-0115",33.6571465,130.7427784,宿泊施設
楳木石油,高田,digital,楳木石油 高田 SS,〒820-0079 福岡県飯塚市高田６４４−１,33.6031928,130.6384406,ガソリンスタンド
３びきのこぶた,南尾,digital,３びきのこぶた,〒820-0072 福岡県飯塚市南尾４００−６,33.6170185,130.6808972,飲食店
くらや,仁保,digital,くらや,〒820-0115 福岡県飯塚市仁保８,33.6535303,130.7379775,飲食店
癒心房,忠隈,digital,美味肉処 癒心房 ボタニカ,〒820-0071 福岡県飯塚市忠隈７１−４,33.6240504,130.6888121,飲食店
ピザハット飯塚楽市店,南尾,digital,ピザハット 飯塚楽市店,〒820-0072 福岡県飯塚市南尾４０１−８,33.6174078,130.6814517,飲食店
ホットドッグ吉河,仁保,digital,ホットドッグ吉河,〒820-0115 福岡県飯塚市仁保２０−２,33.6523864,130.7365349,飲食店
江藤石油(株),忠隈,digital,江藤石油 飯塚 SS,〒820-0071 福岡県飯塚市忠隈１０５−１,33.6257295,130.6870148,ガソリンスタンド
居酒屋 文月,南尾,digital,居酒屋 文月（ふづき）,〒820-0072 福岡県飯塚市南尾４００−２,33.6171847,130.6808936,飲食店
はちみつショップ natural selection acatuki,山倉,digital,,,,,その他
御菓子司亀屋延永,忠隈,digital,御菓子司 亀屋延永（かめやのぶなが）,〒820-0071 福岡県飯塚市忠隈７７−３４,33.6238941,130.6897562,飲食店
Basis health&beauty,椋本,digital,Basis,〒820-0077 福岡県飯塚市椋本６０１−３４,33.6035911,130.6621723,美容室
驫(さんま),忠隈,digital,料理倶楽部 驫(さんま),〒820-0071 福岡県飯塚市忠隈４３８−３,33.62143200000001,130.682816,飲食店
ボーカル教室ユニゾン,安恒,digital,ボーカル教室ユニゾン,〒820-0085 福岡県飯塚市安恒６０７,33.6113305,130.6530093,その他
ヱビス味噌,口原,digital,ヱビス味噌 蛭子屋合名会社,〒820-1114 福岡県飯塚市口原７４６,33.68429560000001,130.7109097,飲食店
パティスリーＳＯＮＯＫＩ,忠隈,digital,Patisserie SONOKI（パティスリー・ソノキ）,〒820-0071 福岡県飯塚市忠隈４０４−４,33.6203987,130.683211,ベーカリー
TAX飯塚,楽市,digital,ＴＡＸ飯塚店/(有)タイセイ自動車,〒820-0074 福岡県飯塚市楽市５９７−５,33.61141,130.673481,店舗
金芳醤油醸造元,口原,digital,金芳醬油釀造元,〒820-1114 福岡県飯塚市口原７６５−７,33.6840694,130.7111562,飲食店
ドコモショップ穂波店,忠隈,digital,ドコモショップ穂波店,〒820-0071 福岡県飯塚市忠隈４５２−１,33.623071,130.683489,店舗
タイヤ館飯塚,楽市,digital,タイヤ館 飯塚,〒820-0074 福岡県飯塚市楽市６７９−１,33.6139466,130.6722601,自動車修理
フローリストリスト 花仙,口原,digital,フローリスト花仙,〒820-1114 福岡県飯塚市口原９２４−１ アンリシール 101,33.6848104,130.7176364,花屋
コメリパワー飯塚店,太郎丸,digital,コメリパワー飯塚店,〒820-0076 福岡県飯塚市太郎丸１１７１ 番2,33.6136379,130.6703542,飲食店
ひよ子本舗吉野堂 飯塚工場売店,楽市,digital,ひよ子本舗吉野堂 穂波工場売店,〒820-0074 福岡県飯塚市楽市538ｰ1 穂波工場 1F,33.611036,130.67424,飲食店
居酒屋 純,口原,digital,居酒屋 純（じゅん）,〒820-1114 福岡県飯塚市口原３１０ ３１０番地,33.6832899,130.7189012,飲食店
ドラッグストアコスモス穂波店,太郎丸,digital,ドラッグストアコスモス 穂波店,〒820-0076 福岡県飯塚市太郎丸９３３,33.61144,130.6712106,ドラッグストア
ビッグワン,楽市,digital,ビッグワン,〒820-0074 福岡県飯塚市楽市６５４,33.6129314,130.6739812,生活雑貨
TRIDRUG GO目尾店,口原,digital,TRIDRUG GO目尾店,〒820-1114 福岡県飯塚市口原591番地6,33.6817674,130.7112473,ドラッグストア
ステーキハウス 三田屋,太郎丸,digital,廣岡揮八郎のステーキハウス 三田屋（さんだや） 福岡飯塚店,〒820-0076 福岡県飯塚市太郎丸７５７−１３,33.6076096,130.6716319,飲食店
ENEOSサンフラワー楽市SS（山口石油）,楽市,digital,ENEOS サンフラワー楽市 SS (山口石油),〒820-0074 福岡県飯塚市楽市２３１−１,33.6146687,130.6804914,ガソリンスタンド
ドラッグ頴田薬局,口原,digital,ドラック頴田薬局,〒820-1114 福岡県飯塚市口原９２４−１ アンリシール,33.6847643,130.7173455,健康・医療
筑豊葬祭セレモニーヴィラ穂波斎場,太郎丸,digital,筑豊葬祭 セレモニーヴィラ穂波（穂波ファミリー斎場）,〒820-0076 福岡県飯塚市太郎丸１１５１−１,33.612262,130.6694557,葬儀場
